Model,Scenario,Region,Variable,Unit,2020.0,2030.0,2040.0,2050.0,2060.0,2070.0,2080.0,2090.0,2100.0
paris_ratchet,2ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,311.9410438297752,212.9428039238126,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,2ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,36152.92595393446,14212.998837011057,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,2ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,914.278125638214,186.7402,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,2ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,10273.730929533853,8022.101882920053,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,2ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,304.22802198702647,182.2785770858282,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,2ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,34932.44444193336,5842.105694543325,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,2ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,819.6115514776388,186.64207956917477,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,2ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,10147.950753360838,7429.3582893176135,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,3ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,298.92174151655433,194.62583737972884,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,3ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,33988.68179908532,-1768.7311208803858,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,3ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,744.718742680071,186.35442177774146,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,3ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,10014.856185194327,7619.520525876509,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,3ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,288.5666002564229,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,3ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,32146.940576187444,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,3ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,598.5663448220246,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,3ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9755.123767733592,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,4ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,286.7120335393278,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,4ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,31817.091674305346,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,4ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,572.3910019771376,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,4ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9708.60667205399,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,4ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,272.9051785258193,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,4ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,29361.436710441518,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,4ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,377.5211381664093,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,4ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9362.296782106343,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,5ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,274.5023255621013,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,5ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,29645.501549525376,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,5ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,400.0632612742048,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,5ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9402.357158913654,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,5ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,258.9433929003526,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,5ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,26352.940036166598,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,5ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,5ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,8917.02575533173,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,6ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,263.3524494496411,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,6ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,27334.86114017071,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,6ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,6ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9063.40543042434,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,6ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,245.26662561971872,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,6ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,23307.04886256066,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,6ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,6ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,8462.960190856382,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,8ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,217.77281778460195,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,8ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,17150.53861776663,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,8ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,8ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,7813.906606244954,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,326.4977415038247,255.35589719142297,192.56874845055208,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,38303.22033222223,28948.565213605892,8122.294879476124,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,1078.5804802739842,389.9071256506318,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,10442.642408894208,9815.969600754135,8059.291401022116,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,322.3825281294354,240.64246202964952,188.27892864978517,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,37695.326949907976,24881.43966989839,-3382.6080459797804,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,1032.1318102266466,259.1628175400257,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,10394.890728223474,9500.923197034841,7650.5538408104885,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
