model,region,scenario,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,World,ssp126,Mt BC / yr,Emissions|BC,7.4574,7.5918,8.0465,8.2417,8.5425,8.8401,8.9256,9.2845,9.0919,9.1095,9.6651,9.4789,9.7053,9.5605,9.7444,9.7274,7.7813,5.0278,4.1805,3.613,3.3733,3.1469,2.7525,2.4723,2.227
IMAGE,World,ssp126,Mt CH4 / yr,Emissions|CH4,310.187,312.896,322.279,328.124,338.942,346.396,356.47,355.023,360.492,364.2,370.896,372.658,380.81,381.594,387.874,388.073,347.491,285.852,242.79,211.109,190.892,166.436,139.312,130.13,122.195
IMAGE,World,ssp126,Mt CO / yr,Emissions|CO,886.565,881.67,970.724,944.747,945.547,950.592,986.151,945.87,912.51,917.729,953.229,906.767,949.602,901.239,964.048,934.35,789.849,563.51,534.244,502.832,472.538,451.537,418.716,393.529,353.276
IMAGE,World,ssp126,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,4402.24,3524.47,3923.35,3301.82,3804.48,3758.47,4003.93,3540.63,2449.09,2766.16,3243.44,3348.04,3557.04,3366.37,4015.37,3517.44,3178.33,188.063,-387.799,-1758.62,-2586.62,-2583.97,-2436.9,-2084.68,-2899.04
IMAGE,World,ssp126,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,25259.6,25493.9,26010.0,27207.4,28629.0,29658.2,30627.9,31811.6,32002.1,31459.2,32890.4,33918.0,34396.9,35396.3,35615.6,35635.3,36625.7,34546.4,26897.0,19722.2,13114.6,7060.3,-848.141,-6300.5,-5718.75
IMAGE,World,ssp126,Mt NH3 / yr,Emissions|NH3,54.5096,54.7099,57.0767,57.6904,58.1136,58.8834,60.3797,60.9658,61.3164,61.378,62.4445,62.3987,63.8485,63.651,65.0369,65.2797,65.1389,64.7656,64.3249,64.2052,63.5519,63.3775,63.5865,63.8754,62.9093
IMAGE,World,ssp126,Mt NOx / yr,Emissions|NOx,135.533,135.906,137.62,140.193,146.35,149.85,153.19,158.089,157.775,152.677,155.42,159.276,158.24,156.038,155.64,155.52,144.439,109.505,92.727,74.478,67.2561,59.284,49.7724,44.5316,41.23
IMAGE,World,ssp126,Mt OC / yr,Emissions|OC,27.982,27.878,33.8082,34.3622,32.3303,32.724,34.3551,33.2773,31.619,31.7725,34.6105,32.5183,35.8269,33.2456,36.1458,34.746,29.1026,21.5544,19.7961,18.2287,16.9733,16.5776,15.7616,14.8554,13.0877
IMAGE,World,ssp126,Mt SO2 / yr,Emissions|Sulfur,111.149,111.924,111.202,115.104,120.494,124.981,125.896,125.088,122.361,117.259,116.317,117.486,115.67,114.648,114.009,100.771,80.1316,51.7369,35.0822,26.7306,22.0403,17.7482,13.261,10.3031,8.0704
IMAGE,World,ssp126,Mt VOC / yr,Emissions|VOC,195.324,196.188,218.46,214.403,216.687,218.788,229.895,219.706,214.695,218.758,224.602,218.629,229.107,219.381,233.526,227.245,188.959,128.047,118.029,109.124,100.578,90.2557,77.4425,70.3951,62.3051
IMAGE,World,ssp126,kt C2F6 / yr,Emissions|C2F6,2.8154,3.0481,3.4534,3.1633,2.203,1.948,2.0454,1.7666,1.746,1.7996,1.7742,1.8468,1.795,1.6325,1.6517,1.57,1.9704,0.8922,0.2737,0.1582,0.0967,0.0629,0.043,0.0261,0.0092
IMAGE,World,ssp126,kt C3F8 / yr,Emissions|C3F8,0.9582,1.0431,1.1324,1.1167,0.9255,0.6805,0.625,0.5468,0.5693,0.6433,0.504,0.4523,0.4648,0.4476,0.4515,0.4478,0.562,0.2545,0.0781,0.0451,0.0276,0.0179,0.0123,0.0074,0.0026
IMAGE,World,ssp126,kt C4F10 / yr,Emissions|C4F10,0.2511,0.2211,0.1912,0.1712,0.1512,0.1313,0.1113,0.1013,0.0913,0.0914,0.1014,0.1014,0.1014,0.1014,0.0994,0.0994,0.1247,0.0565,0.0173,0.01,0.0061,0.004,0.0028,0.0016,0.0006
IMAGE,World,ssp126,kt C5F12 / yr,Emissions|C5F12,0.1948,0.1465,0.1344,0.1223,0.0981,0.0861,0.0861,0.0861,0.0619,0.0498,0.0499,0.0499,0.0499,0.0499,0.0428,0.0435,0.0546,0.0247,0.0076,0.0044,0.0027,0.0017,0.0012,0.0007,0.0002
IMAGE,World,ssp126,kt C6F14 / yr,Emissions|C6F14,0.8271,0.7137,0.6429,0.5721,0.4871,0.4162,0.3596,0.2887,0.2745,0.2604,0.2321,0.2322,0.2323,0.2323,0.2997,0.35,0.4393,0.1989,0.0611,0.0352,0.0216,0.014,0.0096,0.0058,0.0021
IMAGE,World,ssp126,kt C7F16 / yr,Emissions|C7F16,0.2463,0.2464,0.2465,0.2302,0.2303,0.2304,0.2468,0.2305,0.2306,0.2307,0.1982,0.1982,0.1983,0.1984,0.2187,0.2338,0.2934,0.1329,0.0408,0.0236,0.0144,0.0094,0.0064,0.0039,0.0014
IMAGE,World,ssp126,kt C8F18 / yr,Emissions|C8F18,0.3145,0.2778,0.2226,0.2043,0.1676,0.1308,0.1309,0.0941,0.0757,0.0757,0.0758,0.0758,0.0758,0.0758,0.0915,0.1014,0.1273,0.0576,0.0177,0.0102,0.0062,0.0041,0.0028,0.0017,0.0006
IMAGE,World,ssp126,kt CCl4 / yr,Emissions|CCl4,72.6514,70.657,70.4567,69.839,66.9986,63.1956,60.0481,57.2572,56.8377,55.3553,56.0909,57.5659,59.4649,62.5129,53.5475,47.5476,34.8954,18.7952,10.1234,5.4526,2.9369,1.5818,0.852,0.4589,0.2461
IMAGE,World,ssp126,kt CF4 / yr,Emissions|CF4,9.9232,10.5933,11.9822,12.5799,12.1949,11.0608,10.2173,9.3272,9.0353,9.6855,10.4895,11.0568,9.661,8.3027,9.8735,10.8699,12.6175,7.6949,3.2464,2.2668,1.8367,1.6123,1.4255,1.1751,0.9247
IMAGE,World,ssp126,kt CFC11 / yr,Emissions|CFC11,76.3301,68.2715,63.4848,62.278,60.9668,60.3312,63.0372,64.7375,63.0609,60.0651,58.8601,62.4156,70.2352,75.7408,54.9365,43.5734,35.1105,22.7964,14.8012,9.6101,6.2396,4.0512,2.6304,1.7078,1.1067
IMAGE,World,ssp126,kt CFC113 / yr,Emissions|CFC113,9.4044,5.9591,3.1514,5.7693,9.2168,4.6297,0.6451,4.5089,8.3395,5.7877,4.407,4.6238,5.4529,6.5168,2.8024,0.8742,0.411,0.0909,0.0201,0.0044,0.001,0.0002,0.0,0.0,0.0
IMAGE,World,ssp126,kt CFC114 / yr,Emissions|CFC114,3.9867,3.2771,2.4206,1.7336,1.473,1.814,1.751,1.5546,1.9164,1.6755,1.4644,2.0468,2.052,1.9409,1.6696,1.6696,0.8978,0.2594,0.0751,0.0217,0.0063,0.0018,0.0004,0.0002,0.0
IMAGE,World,ssp126,kt CFC115 / yr,Emissions|CFC115,2.3476,1.16,0.9501,0.7451,0.7567,0.5807,0.5871,0.7828,0.457,0.3835,0.659,0.856,0.7169,0.6133,1.1149,1.6714,1.3855,0.9519,0.6544,0.4498,0.3091,0.2124,0.1459,0.1002,0.0686
IMAGE,World,ssp126,kt CFC12 / yr,Emissions|CFC12,122.766,111.641,101.905,97.8448,87.6541,71.9566,65.5753,61.6238,57.1085,54.7882,52.2712,52.1207,53.3588,54.8199,28.9612,14.6096,6.0003,1.0122,0.1707,0.0288,0.0049,0.0008,0.0001,-0.0,0.012
IMAGE,World,ssp126,kt CH2Cl2 / yr,Emissions|CH2Cl2,732.306,777.075,778.011,792.154,815.942,841.287,906.999,941.755,995.466,1055.05,1048.86,1156.87,1284.99,1324.27,1328.6,1267.98,1488.13,1039.72,371.395,320.274,322.602,327.531,334.69,340.413,339.54
IMAGE,World,ssp126,kt CH3Br / yr,Emissions|CH3Br,165.259,165.599,161.141,158.928,156.217,154.123,152.415,147.289,144.473,144.243,142.674,140.422,136.715,133.393,133.679,133.823,141.151,121.417,110.097,107.983,106.858,106.239,105.875,105.565,105.256
IMAGE,World,ssp126,kt CH3CCl3 / yr,Emissions|CH3CCl3,19.4712,19.8069,12.3027,10.1229,9.747,7.5405,9.319,9.6981,6.3376,3.7694,2.4615,3.0036,3.0097,1.8384,1.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMAGE,World,ssp126,kt CH3Cl / yr,Emissions|CH3Cl,5074.27,5094.23,5096.59,5113.75,5141.44,5209.98,5272.27,5250.68,5191.69,5145.27,5179.97,5252.93,5232.33,5231.23,5358.5,5404.81,5586.33,5075.02,4612.95,4511.2,4466.52,4443.21,4423.81,4397.8,4371.79
IMAGE,World,ssp126,kt CHCl3 / yr,Emissions|CHCl3,457.522,447.649,449.675,458.965,446.329,435.173,441.638,432.908,439.125,449.78,445.965,454.408,482.645,515.888,507.954,459.646,507.424,378.768,304.965,291.183,283.845,279.812,277.437,275.42,273.404
IMAGE,World,ssp126,kt HCFC141b / yr,Emissions|HCFC141b,56.3417,56.3688,50.8432,44.4412,49.1358,53.9555,51.9116,49.9535,54.8815,61.5063,65.2095,67.6906,63.3115,59.8178,59.82,59.82,64.9344,53.9924,31.7665,18.1624,10.3843,5.9372,3.3946,1.9408,1.2004
IMAGE,World,ssp126,kt HCFC142b / yr,Emissions|HCFC142b,25.7302,24.4905,25.1561,25.0709,28.5549,33.4475,36.4898,37.1097,33.0916,32.0814,29.8518,28.6456,25.4683,19.4671,22.47,22.47,20.0708,11.6285,3.6001,1.0108,0.2838,0.0796,0.0224,0.0063,0.0209
IMAGE,World,ssp126,kt HCFC22 / yr,Emissions|HCFC22,263.606,261.606,270.322,287.309,307.577,329.525,346.305,357.265,362.724,366.556,361.747,366.944,356.29,342.898,358.881,358.881,322.601,143.31,20.2888,1.8833,0.1748,0.0163,0.0015,0.0002,0.009
IMAGE,World,ssp126,kt HFC125 / yr,Emissions|HFC125,10.6407,11.0753,12.2145,15.6405,15.7589,16.1437,19.8911,26.5952,30.8156,33.9269,35.0695,43.3304,45.815,38.8888,57.1243,78.7906,162.317,167.271,32.3194,20.4136,22.1139,23.9337,25.5229,26.0886,24.9023
IMAGE,World,ssp126,kt HFC134a / yr,Emissions|HFC134a,99.6574,96.2433,102.733,117.406,125.651,126.492,133.41,127.257,138.287,160.108,165.044,190.477,205.006,202.018,200.025,201.953,245.486,156.817,24.6651,14.5566,15.017,15.9916,17.4072,18.5388,18.3662
IMAGE,World,ssp126,kt HFC143a / yr,Emissions|HFC143a,8.5988,9.8521,11.6176,13.1148,13.0975,12.4343,14.1185,16.3997,17.5441,21.1428,20.4609,22.1586,21.423,23.8069,25.2487,32.381,59.1174,59.9463,12.0109,7.737,8.4297,9.276,9.9967,10.2095,9.7449
IMAGE,World,ssp126,kt HFC152a / yr,Emissions|HFC152a,21.4005,27.1848,29.6556,34.6566,42.2881,45.0016,51.038,55.7358,55.5451,58.7478,59.8799,59.9509,56.4308,52.2365,55.6047,55.8814,58.3245,27.6011,3.5812,1.8651,1.7399,1.6923,1.6923,1.6744,1.5612
IMAGE,World,ssp126,kt HFC227ea / yr,Emissions|HFC227ea,0.8632,0.9428,1.2108,1.5605,2.051,2.3655,2.3532,2.4154,2.6197,2.9667,3.1827,3.4106,3.2771,2.9986,3.5393,3.6633,5.2138,3.996,0.6521,0.3788,0.3584,0.3438,0.3348,0.3198,0.2879
IMAGE,World,ssp126,kt HFC23 / yr,Emissions|HFC23,9.2978,8.984,9.7209,11.0054,12.7126,14.6265,12.6398,9.3263,8.8123,9.9336,11.2476,12.4982,12.5916,11.6042,12.991,14.4857,2.4754,0.4154,0.0408,0.0116,0.0062,0.0033,0.0017,0.0008,0.0
IMAGE,World,ssp126,kt HFC236fa / yr,Emissions|HFC236fa,0.1407,0.1567,0.1573,0.1581,0.22,0.2128,0.1822,0.2342,0.2122,0.1727,0.2799,0.3336,0.2583,0.241,0.256,0.2604,0.4409,0.4413,0.0894,0.0593,0.0669,0.0751,0.0827,0.0872,0.0852
IMAGE,World,ssp126,kt HFC245fa / yr,Emissions|HFC245fa,0.034,0.8062,2.9171,5.2265,6.6512,7.0792,6.8754,6.6981,7.076,7.8522,8.7779,9.4655,9.0542,9.7859,10.1025,11.7285,19.8589,19.8742,4.0256,2.6719,3.0149,3.3832,3.7244,3.9292,3.8389
IMAGE,World,ssp126,kt HFC32 / yr,Emissions|HFC32,1.4115,1.654,2.8038,4.7857,5.4873,6.3607,8.3862,8.403,10.6694,16.2233,15.9145,20.4152,24.0671,21.4529,30.4858,38.5792,6.5926,1.1063,0.1087,0.0309,0.0165,0.0088,0.0045,0.0021,0.0
IMAGE,World,ssp126,kt HFC365mfc / yr,Emissions|HFC365mfc,0.27,0.6107,1.3138,2.2356,3.1186,3.4181,2.5592,2.7884,2.7884,2.9974,3.3098,3.5841,3.9269,4.2254,4.4701,4.6492,5.6514,3.6101,0.5679,0.3351,0.3457,0.3681,0.4007,0.4268,0.4228
IMAGE,World,ssp126,kt HFC4310mee / yr,Emissions|HFC4310mee,0.5742,0.6387,0.7333,0.8537,0.9741,1.0846,1.1852,1.2649,1.3165,1.4335,1.3376,1.1291,0.9855,0.8723,1.1516,1.1516,1.202,0.5688,0.0738,0.0384,0.0359,0.0349,0.0349,0.0345,0.0322
IMAGE,World,ssp126,kt Halon1202 / yr,Emissions|Halon1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMAGE,World,ssp126,kt Halon1211 / yr,Emissions|Halon1211,9.4801,8.8338,8.3686,8.0831,7.5268,6.9433,6.3118,5.7707,5.5738,5.2571,4.8976,4.3362,3.838,3.5746,3.481,3.2933,2.1847,0.9614,0.4231,0.1862,0.0819,0.0361,0.0159,0.007,0.008
IMAGE,World,ssp126,kt Halon1301 / yr,Emissions|Halon1301,1.9694,2.3248,2.2798,2.0263,2.1193,1.8948,1.5902,1.7022,1.6171,1.7273,1.8512,2.0962,1.7329,0.9626,1.2299,1.3378,1.1071,0.7583,0.5193,0.3557,0.2436,0.1668,0.1143,0.0783,0.0536
IMAGE,World,ssp126,kt Halon2402 / yr,Emissions|Halon2402,0.7715,0.7461,0.6766,0.602,0.5529,0.4697,0.4358,0.5916,0.6384,0.4772,0.3966,0.3911,0.4159,0.4444,0.3854,0.3481,0.279,0.1793,0.1153,0.0741,0.0476,0.0306,0.0197,0.0126,0.0081
IMAGE,World,ssp126,kt N2O / yr,Emissions|N2O,9603.19,9722.25,9991.77,10099.8,10354.6,10516.6,10802.6,10363.5,10429.7,10546.7,10539.8,10446.4,10593.9,10759.0,10866.3,10900.0,10284.5,8911.22,8215.97,7941.23,7824.67,7824.8,8025.5,8544.29,8357.02
IMAGE,World,ssp126,kt NF3 / yr,Emissions|NF3,0.3258,0.4425,0.5634,0.5745,0.5679,0.6649,0.7258,0.8465,1.1466,1.3875,1.5094,1.6315,1.6941,1.6971,1.4093,1.3581,1.0989,0.6917,0.4295,0.3574,0.3159,0.2761,0.233,0.1931,0.1519
IMAGE,World,ssp126,kt SF6 / yr,Emissions|SF6,5.2735,5.3282,5.4976,5.5417,5.648,6.2799,6.9409,6.9754,6.8835,7.1599,7.2759,7.4657,7.7063,7.6862,7.8784,8.02,6.4891,4.0845,2.5364,2.1102,1.8655,1.6301,1.3755,1.14,0.8968
IMAGE,World,ssp126,kt SO2F2 / yr,Emissions|SO2F2,1.4697,1.5831,1.8187,2.0008,1.9432,1.7404,1.4531,1.469,1.8119,2.1301,2.2231,2.6823,2.7865,2.4539,2.512,2.5317,2.9387,1.7922,0.7561,0.5279,0.4277,0.3755,0.332,0.2737,0.2154
IMAGE,World,ssp126,kt cC4F8 / yr,Emissions|cC4F8,0.6493,0.7093,0.8047,0.9364,1.06,1.111,1.1103,1.1317,1.1868,1.245,1.2721,1.2727,1.2729,1.2732,1.2672,1.2672,1.471,0.8972,0.3785,0.2643,0.214,0.1878,0.1663,0.137,0.1077
